"","X","GEOID","geometry","P_WrkAge","Pct_AO1","R_HiWageWk","D1B","D1C","D3A","D3AMM","D3APO","D3B","D4A","D5AR","D5CRI","D1C_Cat","D3B_Cat"
"1",963,360610080005,"POLYGON ((-73.978159 40.75146, -73.977677 40.752119, -73.977107 40.751883, -73.976048 40.751441, -73.976535 40.750775, -73.976986 40.750157, -73.978607 40.750842, -73.978159 40.75146))",0.574,0.179245283,0.124220932731571,0.250088181384314,0.0209613702374196,0.290797622340244,0.685688153698987,0,0.0200161883962391,0.990670885049079,0.935174610561018,0.935174611,"Medium","High"
"2",964,360610002025,"POLYGON ((-73.982248 40.705829, -73.980907 40.705907, -73.980987 40.705374, -73.981856 40.70549, -73.982033 40.705515, -73.981648 40.705574, -73.981601 40.705658, -73.981505 40.7057, -73.981413 40.705703, -73.981274 40.705677, -73.981195 40.705679, -73.981143 40.70565, -73.981136 40.705574, -73.98107 40.705534, -73.981021 40.705503, -73.980967 40.705695, -73.981034 40.705789, -73.982255 40.705718, -73.982248 40.705829))",0.605,0.420537897,0.0932731571029443,0.198400167230087,0.00866510520363161,0.35101400395,0.107279818688853,0.288899585929627,0.0694518613883022,0.989544454816166,0.708223483166503,0.708223483,"Low","Very High"
"3",965,360610012003,"POLYGON ((-73.98117 40.715378, -73.980879 40.715924, -73.98081 40.716055, -73.980778 40.716116, -73.980745 40.716184, -73.980736 40.716199, -73.980699 40.716257, -73.98067 40.716304, -73.980577 40.716455, -73.980022 40.716287, -73.979232 40.716048, -73.97909 40.716005, -73.978909 40.715951, -73.978992 40.715798, -73.97902 40.715748, -73.979102 40.715612, -73.979134 40.715553, -73.979222 40.715403, -73.979495 40.71489, -73.979962 40.713973, -73.980923 40.714264, -73.98165 40.714461, -73.98117 40.715378))",0.641,0.269366197,0.0595314850634,0.169270169451515,0.00478727616652307,0.313276104469346,0.341662985765078,0.123781599060287,0.0271593771220776,0.989623996600157,0.75022079269082,0.750220793,"Low","High"
"4",1461,360610024002,"POLYGON ((-73.974707 40.721881, -73.974646 40.722105, -73.974525 40.722432, -73.974456 40.722584, -73.974309 40.722862, -73.974196 40.723041, -73.974022 40.723317, -73.973942 40.723442, -73.973852 40.723584, -73.973761 40.723728, -73.973716 40.723798, -73.973637 40.723923, -73.97358 40.724012, -73.973486 40.724161, -73.973281 40.724279, -73.97317 40.724242, -73.972776 40.724906, -73.972502 40.725352, -73.972313 40.725644, -73.972085 40.726062, -73.972024 40.72622, -73.971969 40.726362, -73.971886 40.726623, -73.971857 40.726759, -73.971396 40.726662, -73.971489 40.726137, -73.972751 40.721058, -73.972869 40.720725, -73.974543 40.721471, -73.974648 40.72152, -73.974763 40.721596, -73.974707 40.721881))",0.611,0.095588235,0.0494304749623899,0.152579068501429,6.21557937164405e-05,0.17901513473488,0,0.140731110878755,0.018072520321885,0.990339576227065,0.701765194551541,0.701765195,"Low","Medium"
"5",1462,360610223020,"POLYGON ((-73.9659 40.823461, -73.965719 40.823709, -73.965592 40.823883, -73.96517 40.82446, -73.965138 40.824504, -73.961228 40.822769, -73.958743 40.82162, -73.95881 40.821532, -73.959767 40.820411, -73.960007 40.820422, -73.961187 40.821069, -73.965981 40.82335, -73.9659 40.823461))",0,0,0,0,0,0,0,0,0,0,0,0,"Low","Low"
"6",1463,360610020000,"POLYGON ((-73.973491 40.718972, -73.972869 40.720725, -73.966511 40.717917, -73.966613 40.717806, -73.966671 40.717743, -73.966836 40.717564, -73.967578 40.716496, -73.967716 40.71604, -73.973635 40.718612, -73.973491 40.718972))",0,0,0,0,0,0,0,0,0,0,0,0,"Low","Low"
"7",2394,360610010021,"POLYGON ((-73.979965 40.71759, -73.979486 40.718528, -73.979416 40.718666, -73.979071 40.719325, -73.979039 40.719387, -73.978753 40.719934, -73.978034 40.71964, -73.977224 40.71931, -73.977342 40.719006, -73.977384 40.718899, -73.977551 40.718476, -73.977773 40.718148, -73.97816 40.717599, -73.978215 40.717525, -73.978267 40.717429, -73.9783 40.717324, -73.97831 40.717233, -73.978763 40.717254, -73.979401 40.717305, -73.979992 40.71754, -73.979965 40.71759))",0.466,0.10989011,0.039759295078444,0.143840977419152,0.000944776008632547,0.122821372366445,0.134804333260291,0.09181858987164,0,0.990061328197602,0.758388074081478,0.758388074,"Low","Low"
"8",2455,360610065003,"POLYGON ((-74.002772 40.728445, -74.00251 40.729, -74.002301 40.729445, -74.002203 40.729654, -74.002139 40.729796, -74.001797 40.730385, -74.001684 40.730581, -74.00102 40.730246, -74.000499 40.729988, -74.00119 40.729168, -74.000435 40.728794, -74.00139 40.72766, -74.002149 40.728036, -74.002808 40.728365, -74.002772 40.728445))",0.821,0.034645669,0.086180958521384,0.138752746371137,0.0425646605094062,0.236474406897063,0.470979286693386,0.0383536273019903,0.0135928716817962,0.989425191545015,0.583547298791908,0.583547299,"High","Medium"
"9",2456,360610245004,"POLYGON ((-73.942602 40.83718, -73.942141 40.837803, -73.940102 40.836945, -73.93995 40.836078, -73.939888 40.835794, -73.939775 40.835183, -73.940217 40.835359, -73.943052 40.836557, -73.942602 40.83718))",0.718,0.081111111,0.0782290995056952,0.349295897222545,0.0113022561720822,0.249859340663123,0.635117083874326,0.0185881322720272,0.0120530711777573,0.990220312955914,0.534048772654805,0.534048773,"Low","Medium"
"10",2459,360610063003,"POLYGON ((-73.999188 40.734134, -73.998714 40.734784, -73.996118 40.733699, -73.995489 40.733437, -73.995914 40.732847, -73.99862 40.733981, -73.999019 40.734149, -73.999188 40.734134))",0.649,0.182885906,0.112185686653772,0.222328152569126,0.0384249123909433,0.0897568301641157,0.144169159551071,0,0,0.990670885049079,0.5541396786176,0.554139679,"Medium","Low"
"11",2460,360610016001,"POLYGON ((-73.997504 40.714069, -73.997092 40.714618, -73.996806 40.715037, -73.996532 40.715473, -73.996059 40.716232, -73.995429 40.717279, -73.994808 40.718457, -73.993828 40.718145, -73.993095 40.717922, -73.9937 40.716748, -73.994275 40.715621, -73.994578 40.715087, -73.99414 40.714269, -73.994347 40.714247, -73.9945 40.714231, -73.994657 40.71422, -73.99484 40.714209, -73.996478 40.714107, -73.997444 40.714067, -73.997504 40.714069))",0.518,0.179640719,0.072856221792392,0.158790323164498,0.0283424411617038,0.353049487451303,0.312295097631461,0.173680494093089,0.0193123688027301,0.989478252337565,0.650938635198042,0.650938635,"Medium","Medium"
"12",2461,360610115001,"POLYGON ((-73.99402 40.756527, -73.993561 40.757144, -73.993379 40.757396, -73.993205 40.757637, -73.99307 40.757827, -73.992633 40.75843, -73.990646 40.757594, -73.989791 40.757234, -73.990276 40.756567, -73.990726 40.755951, -73.991177 40.75533, -73.991633 40.754707, -73.994468 40.755909, -73.99402 40.756527))",0.836,0.15739645,0.165699548678272,0.0976084041351661,0.237429501598328,0.20315955619915,0.35396521636595,0.0465319727597836,0,0.988086814570909,0.787608081913679,0.787608082,"Very High","Low"
"13",2462,360610174011,"POLYGON ((-73.949013 40.794281, -73.948556 40.79491, -73.948095 40.795541, -73.947645 40.796157, -73.946042 40.795467, -73.946483 40.794863, -73.946946 40.794234, -73.947406 40.793598, -73.947896 40.792928, -73.949508 40.793606, -73.949013 40.794281))",0.451,0.056574924,0.0524392864818397,0.183094842382817,0.00960809453047439,0.188860214199524,0.406899914453932,0.0481506536280171,0.0162503798460167,0.98990224462962,0.467149816238217,0.467149816,"Low","Medium"
"14",2463,360610163002,"POLYGON ((-73.984778 40.782483, -73.984452 40.783192, -73.98259 40.782393, -73.983053 40.78176, -73.983515 40.781126, -73.985072 40.78178, -73.984778 40.782483))",0.582,0.285423038,0.126584998925424,0.373129003660737,0.0316178215495516,0.196874737748601,0.419720402854237,0.052266591515343,0.0486953761080148,0.989597515608716,0.609083878283011,0.609083878,"Medium","Very High"
"15",2464,360610071004,"POLYGON ((-74.001948 40.736414, -74.001095 40.736564, -74.000722 40.735926, -74.000356 40.735307, -73.999973 40.734688, -73.999653 40.73407, -74.000357 40.733973, -74.001205 40.733843, -74.001389 40.734483, -74.001574 40.735128, -74.001693 40.735534, -74.00177 40.735762, -74.001948 40.736414))",0.876,0.127686473,0.134321942832581,0.207788614185039,0.0335802119429699,0.303051321254909,0.51322254618367,0.0891985899659429,0.0265104442833309,0.990207072460194,0.587342147563252,0.587342148,"Medium","High"
"16",2538,360610013002,"POLYGON ((-74.016606 40.704963, -74.016579 40.705089, -74.016421 40.705483, -74.016131 40.706244, -74.015956 40.70668, -74.015834 40.706984, -74.015765 40.707148, -74.015749 40.707186, -74.015693 40.707304, -74.015611 40.707486, -74.015591 40.707531, -74.015528 40.707672, -74.015513 40.707707, -74.014904 40.707208, -74.014836 40.707137, -74.014775 40.707062, -74.014721 40.706983, -74.014674 40.706903, -74.014635 40.706819, -74.014604 40.706734, -74.014581 40.706648, -74.014566 40.70656, -74.014559 40.706472, -74.01456 40.706383, -74.01462 40.70614, -74.014397 40.7061, -74.014325 40.706234, -74.014137 40.706173, -74.013254 40.705871, -74.013356 40.705415, -74.013326 40.705031, -74.013286 40.704655, -74.014289 40.704549, -74.015184 40.704666, -74.015417 40.704684, -74.016567 40.704774, -74.016628 40.704799, -74.016606 40.704963))",0.874,0.107877928,0.288416075650118,0.099453110237987,0.358444488173419,0.372254982092645,0.57007633510564,0.0552665968521376,0.033139609427589,0.989597515608716,0.635370087874672,0.635370088,"Very High","Very High"
"17",2539,360610014011,"POLYGON ((-73.990225 40.714532, -73.990202 40.714665, -73.989754 40.715553, -73.989155 40.716708, -73.988367 40.716446, -73.987535 40.716197, -73.986721 40.715952, -73.986835 40.715777, -73.986929 40.715603, -73.986996 40.715456, -73.987074 40.715241, -73.987129 40.715031, -73.987138 40.714974, -73.987166 40.714802, -73.987178 40.714597, -73.987172 40.714377, -73.987165 40.714312, -73.988703 40.714185, -73.989337 40.714133, -73.99022 40.714405, -73.990225 40.714532))",0.575,0.349502488,0.101439931227165,0.215318691028926,0.012394319075731,0.0843394522857777,0.0418573094836678,0.0866858608678659,0.0144118185614468,0.990644404057639,0.718950157381358,0.718950157,"Low","Medium"
"18",2540,360610014022,"POLYGON ((-73.9862 40.716899, -73.98587 40.717518, -73.985826 40.717603, -73.985693 40.717862, -73.985671 40.717927, -73.985074 40.719083, -73.984232 40.718828, -73.983395 40.718571, -73.983995 40.717414, -73.984035 40.717331, -73.984071 40.717259, -73.98414 40.717128, -73.984173 40.717068, -73.984233 40.716956, -73.984536 40.716394, -73.985013 40.715438, -73.985801 40.715677, -73.985867 40.715697, -73.986721 40.715952, -73.9862 40.716899))",0.688,0.088628763,0.0823124865678057,0.110777319742891,0.0103051409407457,0.290500429930888,0.573664564473595,0.0278191119804847,0.0228798394537549,0.990472079993937,0.709977535675019,0.709977536,"Low","High"
